resourceID,eventDate,scientificName,Feeding,Latitude,Longitude,Area,County,State,institutionID
602201691,1995-01-21,LarusArgentatus,Frog,33.41310,-115.81924,WaterlogAreas,Imperial ,California,http://www.birds.cornell.edu
602201691,2011-02-13,LarusArgentatus,Frog,33.41310,-115.81924,WaterlogAreas,Imperial ,California,http://www.birds.cornell.edu
602201691,2011-10-06,LarusArgentatus,Frog,33.41310,-115.81924,WaterlogAreas,Imperial ,California,http://www.birds.cornell.edu
602201691,2011-03-06,LarusArgentatus,Frog,33.41310,-115.81924,WaterlogAreas,Imperial ,California,http://www.birds.cornell.edu
602201691,1982-04-07,LarusArgentatus,Frog,33.41310,-115.81924,WaterlogAreas,Imperial ,California,http://www.birds.cornell.edu
602201691,1988-12-17,LarusArgentatus,Frog,33.41310,-115.81924,WaterlogAreas,Imperial ,California,http://www.birds.cornell.edu
602201691,2014-02-24,LarusArgentatus,Frog,33.41310,-115.81924,WaterlogAreas,Imperial ,California,http://www.birds.cornell.edu
602201691,2014-03-30,LarusArgentatus,Frog,33.41310,-115.81924,WaterlogAreas,Imperial ,California,http://www.birds.cornell.edu
602201691,2010-02-05,LarusArgentatus,Frog,33.41310,-115.81924,WaterlogAreas,Imperial ,California,http://www.birds.cornell.edu
602201691,1998-02-17,LarusArgentatus,Frog,33.41310,-115.81924,WaterlogAreas,Imperial ,California,http://www.birds.cornell.edu
602201691,2008-11-28,LarusArgentatus,Frog,33.41310,-115.81924,WaterlogAreas,Imperial ,California,http://www.birds.cornell.edu
602201691,2010-02-06,LarusArgentatus,Frog,33.41310,-115.81924,WaterlogAreas,Imperial ,California,http://www.birds.cornell.edu
602201691,2008-12-30,LarusArgentatus,Frog,33.41310,-115.81924,WaterlogAreas,Imperial ,California,http://www.birds.cornell.edu
602201691,2010-02-05,LarusArgentatus,Frog,33.41310,-115.81924,WaterlogAreas,Imperial ,California,http://www.birds.cornell.edu
602201691,2008-02-10,LarusArgentatus,Frog,33.41310,-115.81924,WaterlogAreas,Imperial ,California,http://www.birds.cornell.edu
602201691,2008-02-11,LarusArgentatus,Frog,33.41310,-115.81924,WaterlogAreas,Imperial ,California,http://www.birds.cornell.edu
602201691,2001-01-04,LarusArgentatus,Frog,33.33310,-115.81290,WaterlogAreas,Imperial ,California,http://www.birds.cornell.edu
"10,44",2007-02-18,LarusArgentatus,Frog,33.21587,-115.81132,WaterlogAreas,Imperial ,California,http://www.avianknowledge.net
602201691,1999-12-28,LarusArgentatus,Frog,33.31186,-115.80688,WaterlogAreas,Imperial ,California,http://www.birds.cornell.edu
602201691,2014-01-17,LarusArgentatus,Frog,33.38365,-115.79452,WaterlogAreas,Imperial ,California,http://www.birds.cornell.edu
602201691,1996-02-04,LarusArgentatus,Frog,33.29821,-115.79251,WaterlogAreas,Imperial ,California,http://www.birds.cornell.edu
602201691,2013-03-02,LarusArgentatus,Frog,33.38081,-115.79036,WaterlogAreas,Imperial ,California,http://www.birds.cornell.edu
602201691,2013-02-15,LarusArgentatus,Frog,33.38166,-115.78900,WaterlogAreas,Imperial ,California,http://www.birds.cornell.edu
602201691,2013-02-15,LarusArgentatus,Frog,33.38166,-115.78900,WaterlogAreas,Imperial ,California,http://www.birds.cornell.edu
602201691,1993-11-02,LarusArgentatus,Frog,33.12548,-115.78732,WaterlogAreas,Imperial ,California,http://www.birds.cornell.edu
602201691,2015-11-30,LarusArgentatus,Frog,33.14079,-115.78227,WaterlogAreas,Imperial ,California,http://www.birds.cornell.edu
602201691,2015-02-08,LarusArgentatus,Frog,33.28921,-115.77393,WaterlogAreas,Imperial ,California,http://www.birds.cornell.edu
602201691,2013-02-18,LarusArgentatus,Frog,33.38944,-115.76703,WaterlogAreas,Imperial ,California,http://www.birds.cornell.edu
602201691,2015-12-04,LarusArgentatus,Frog,33.38944,-115.76703,WaterlogAreas,Imperial ,California,http://www.birds.cornell.edu
602201691,2013-04-13,LarusArgentatus,Frog,33.09722,-115.75273,WaterlogAreas,Imperial ,California,http://www.birds.cornell.edu
602201691,2014-01-25,LarusArgentatus,Frog,33.09722,-115.75273,WaterlogAreas,Imperial ,California,http://www.birds.cornell.edu
602201691,2014-05-04,LarusArgentatus,Frog,33.09722,-115.75273,WaterlogAreas,Imperial ,California,http://www.birds.cornell.edu
602201691,2012-04-14,LarusArgentatus,Frog,33.09722,-115.75273,WaterlogAreas,Imperial ,California,http://www.birds.cornell.edu
602201691,2012-04-14,LarusArgentatus,Frog,33.09722,-115.75273,WaterlogAreas,Imperial ,California,http://www.birds.cornell.edu
